ID,Topic,Coherence,Coherence+eps,PMI,NPMI,Cosine,KL,Euclidean,Jaccard,Variability,Post Variability
1,flight estimate spacecraft lab space km solar june rocket nasa,-80.79184521226709,-84.9994918293429,48.31437134706312,0.5343228648669999,0.9713669058949157,0.03001613259087583,0.005871854725604417,0.19362166078950072,2.4540676102362984e-05,0.11673708345747767
2,god belief reject truth faith believe christianity biblical bible christian,-53.21009395923935,-53.84567628848971,36.6982081047066,0.5287595966720934,0.978743501451828,0.021379672010064653,0.004944499627103349,0.3256223954949103,2.2010601753396506e-05,0.1195676330736025
3,atheism religion existence rely absolute belief islam atheist universe exist,-62.96281906707746,-65.01955893757253,34.35780401748363,0.5256811055991695,0.9754004011012235,0.025026616506222954,0.00535402973075859,0.22655200457276098,2.8334971254180225e-05,0.1145792181661668
4,msg food reaction eat surrender cause weight symptom treat treatment,-87.88960134839171,-147.32043621892012,12.566728923356562,0.5032613382525452,0.9607577634253971,0.03746135665518507,0.006916508241682272,0.18173020981760984,2.0657291855454174e-05,0.11058012515319571
5,mhz bus scsus cpu port scsi board pc isa external,-63.05304183238806,-64.66201163527283,46.57392911590627,0.5344546572049729,0.9660682672465574,0.031087852668496854,0.006458875856505534,0.2692839431514013,2.5999997874756414e-05,0.10695944646266553
6,coach team goal wing rangers final playoff game cup ice,-55.44337919697597,-56.70561249227316,51.56912396805064,0.5385772190063319,0.9717593966352649,0.029505391775773625,0.00558483793415599,0.2401434281496127,6.413394415920898e-05,0.10136716695322204
7,msg science theory scientific result article treatment scientist fred observation,-85.76070624349992,-116.1534997240748,4.15601994090542,0.5003796037327926,0.9658504242484832,0.03421275647742871,0.006455462163979576,0.1803226480729029,2.3564674633659246e-05,0.1210876013940214
8,write article michael david sorry curious ed charles disclaimer bunch,-100.8557325449907,-102.29969867796348,6.023601051202318,0.5040020036984315,0.9074152755624597,0.05895547471358253,0.01457209501039757,0.19303528675426562,3.335459407741447e-05,0.11721469227852228
9,health statistics estimate comparison collect medical among hospital insurance assault,-96.77307345107302,-101.67576728207554,33.38062409723503,0.5238371263925309,0.9707061622107993,0.029848513380544266,0.005912560487347455,0.1742041857813479,3.2531716412681976e-05,0.12223427739060627
10,car bike honda gear mile tire ford front engine rear,-80.9585359173444,-84.00335326239792,49.71774765984568,0.5365234736974165,0.965484632840648,0.03238682075309058,0.006578446115265284,0.23160886173549777,2.9278845271673998e-05,0.118178386843197
11,clinton money bush economy spend tax dollar pay white billion,-68.04380187713254,-69.34414197862831,44.763911204291624,0.5337440227216375,0.9727302670411814,0.026587801152850504,0.005549769788280386,0.1509830238556458,2.727196470840993e-05,0.1132953635046527
12,adams angeles patrick toronto los coverage tv stanley rangers blue,-86.58949180499343,-90.45777196410586,53.431973564374566,0.538645099419435,0.9664254086196103,0.03477891285472959,0.006410704373614605,0.2100308657956889,4.248163208770904e-05,0.12001283781347878
13,liberty violate libertarian liberal waco government rights constitution assault civil,-76.06709047040073,-80.14138915766338,51.34729022625709,0.5374008786214794,0.9638093683945018,0.03539843797476408,0.006637828349048845,0.17446784051910594,3.301117339595222e-05,0.11094206030606561
14,convert file code jpeg gif compression text copyright character line,-71.3663805441506,-73.622913774269,12.822028228831062,0.5090988452228135,0.9723317342323147,0.02663636961524204,0.00553008275108964,0.1377636345425081,2.8406518343771363e-05,0.11748936006967362
15,sit tear walk floor afraid building face take sick wife,-77.32358368363897,-79.46737500550105,41.5744075624684,0.5301881246589332,0.9647734617650949,0.03489155234103914,0.0066062160174006675,0.15842748430294434,3.207007774871598e-05,0.11406046036881737
16,tear arrive neighbor afraid wife girl hide daughter floor woman,-81.65227525333046,-85.02820340800999,59.37120218176089,0.542056503601462,0.9667530791182333,0.03374408895344654,0.006387821021725504,0.20194293247808798,3.91386507862108e-05,0.11801663469465702
17,unix fax software workstation graphics computing dec systems map database,-81.46565483873411,-83.43070411173915,51.416206005130235,0.5373585002600407,0.975186258023721,0.025068333744536743,0.005359047861110488,0.19809722801355525,2.8864252143152582e-05,0.11619617696189775
18,waco batf gang compound accident shoot cop gun fbi criminal,-75.08181821070525,-79.28004863312792,32.8839334373176,0.5243863898079077,0.9650848308679394,0.034047967174834166,0.006485299417435667,0.20622070072861867,3.059676673159591e-05,0.11324264775331708
19,armenia armenians troops armenian mountain genocide turks escape massacre army,-28.090421248961434,-28.87368612769744,90.87202250087199,0.5708440600948624,0.9738193924865639,0.025631145055750856,0.005448696565403191,0.43199297602958536,2.2656048654885894e-05,0.11317937981335664
20,innocent israel islamic arab arabs israeli bomb peace hitler palestinian,-72.32772134016102,-76.33083129627556,45.650750638057225,0.5342877551786079,0.9712638187407542,0.028762932647501405,0.005803899262263703,0.34061697250896456,2.5159800566119586e-05,0.11206041517263841
21,hitter career baseball pitch hit year defensive braves game defense,-64.3425013792796,-66.17933207838375,47.812392642327815,0.5352211568128076,0.9695494792590779,0.030279790256767213,0.0058835287342228855,0.25478287089692053,3.397766447232475e-05,0.10939740138226793
22,monitor printer pro anyone modem driver mouse gateway card resolution,-92.75976014347239,-96.09247499251394,10.820389653816937,0.5079253729125817,0.9690939487220203,0.027424067140464956,0.006290907224376673,0.23339186807419407,3.050045524431078e-05,0.09803407045398885
23,tear afraid guilty alive sick koresh compound fire jump woman,-87.52842259632553,-92.06807751838461,42.81917563406444,0.5310250275809038,0.9665815135799581,0.033196512717683854,0.006344264507630344,0.1911516581287758,2.1239790993726106e-05,0.11812591889929652
24,sell price shipping sale buy cheap channel condition speaker sound,-85.42444252463419,-87.01987637940309,28.463108252240804,0.5217993943706536,0.961376405085953,0.03513054303802756,0.007044301501184669,0.1806173548642746,2.5290819720898812e-05,0.11527366425015327
