ID,Topic,Coherence,Coherence+eps,PMI,NPMI,Cosine,KL,Euclidean,Jaccard,Variability,Post Variability
1,hitter season player braves team pitcher defensive score coach flyers,-72.70901183627403,-157.55785651661563,21.548896726550236,0.5042495452440817,0.9984717743991343,0.0015795586113510637,0.0012014486141697126,0.23746959383016028,3.1712203889067747e-06,0.10739830837666056
2,apartment rape neighbor woman soldier armenians father daughter beat harm,-74.46548557276559,-77.84259197983515,40.97767841920185,0.5292356482147611,0.9987233394205829,0.0013878302957190313,0.0010832709868669568,0.25327285290287066,3.513581153280816e-06,0.1207548027383496
3,detroit winnipeg leafs pt wings rangers playoff hockey philadelphia nhl,-59.18635326240652,-61.870611451001906,61.85274553177171,0.545600653642008,0.9986950634468762,0.001328715095471824,0.0010733571345047364,0.29514165981302065,2.294808293165726e-06,0.10929109703934087
4,format graphics ftp workstation server directory anonymous unix amiga database,-81.48444696640172,-83.9759273294134,38.375599475842876,0.5281418350714058,0.9991714295503307,0.0008538210321692823,0.0008655323133251572,0.20929412944808884,4.244363817958595e-06,0.11394721659756919
5,islamic sexual islam marriage jesus homosexual hitler marry sex religious,-84.87527099422725,-118.60032345465666,9.647403410084316,0.5042942487963696,0.998686269758553,0.0013593079723948263,0.0010904088181963524,0.24714731711602853,4.373134340205658e-06,0.11253560717294456
6,jpeg workstation format gif platform toolkit widget server ftp converter,-68.98071839041774,-72.82845907864487,25.10400182852983,0.5179737164200319,0.9992959960208213,0.0007291673860165339,0.0008046112958462748,0.2163025045402161,3.28781172680464e-06,0.11333509801190032
7,scripture revelation god doctrine belief christian truth morality jesus faith,-60.75903694631718,-62.79089123092837,28.28997689734759,0.5218272542455843,0.998798638333399,0.0012414247541456909,0.001054868721927049,0.3346687608663413,3.7413793138551807e-06,0.11513548693880542
8,jesus scripture eternal heaven god faith prophecy holy verse spirit,-71.38208955039012,-73.65509905718496,41.42469393559387,0.5306835969783028,0.9985559902084075,0.001490185200179755,0.0011584853676776816,0.3040446266545957,3.0219124561757395e-06,0.10099421254403847
9,israel jews turkish jew muslim turks lebanese arab armenian territory,-72.04647301439343,-102.31845711487817,0.20878837574584352,0.496985203856218,0.9987007895071005,0.001325024198366176,0.0011024469076364527,0.3013858105062987,4.478051082297351e-06,0.11667716050148157
10,bio rom controller interface disk processing floppy widget application jumper,-99.55230782102659,-161.21957064372157,-26.748657470439902,0.4720507089966963,0.9989565502244175,0.0010613418858658333,0.0009862736320331163,0.13480556659224094,3.9371360737988985e-06,0.11679659962659056
11,bike amp helmet manual honda turbo brake tire rear voltage,-130.1978194238683,-495.41328791770326,-114.59052491863108,0.36916836844923145,0.9985123983865861,0.0015564758179580757,0.0011571345734093783,0.15045132848702816,2.440425499442536e-06,0.10273239994587284
12,pitcher braves player baseball hitter pitch jesus defensive season deserve,-84.70517808670631,-170.69855472230012,-9.97669434294558,0.48488243289818667,0.9983768035828701,0.0017069843064425492,0.0012244235186231463,0.22285555453416334,3.4871389744250913e-06,0.10308106583570567
13,motherboard meg screen windows printer mouse modem port gateway quadra,-104.9220543853093,-110.37366127388528,1.6885232021724441,0.4979469685946218,0.9987710159882113,0.0012341219099805622,0.0010396338399231311,0.15922981289919966,3.3345507567712353e-06,0.10792244946808101
14,holy jesus belief god atheist religious doctrine religion atheism spirit,-68.00714093766355,-69.48332892808895,27.506726273726336,0.5210830831802956,0.9989068972232229,0.0011142904674347085,0.0010097570149743855,0.28971891455001714,2.8216333788158375e-06,0.10182793519225126
