ID,Topic,Human,Coherence,Coherence+eps,PMI,NPMI,Cosine,KL,Euclidean,Jaccard,Variability,Post Variability
1,hitter season player braves team pitcher defensive score coach flyers,3,-72.70901184,-157.5578565,21.54889673,0.504249545,0.998471774,0.001579559,0.001201449,0.106861317,3.17E-06,0.107398308
2,apartment rape neighbor woman soldier armenians father daughter beat harm,1,-74.46548557,-77.84259198,40.97767842,0.529235648,0.998723339,0.00138783,0.001083271,0.113972784,3.51E-06,0.120754803
3,detroit winnipeg leafs pt wings rangers playoff hockey philadelphia nhl,4,-59.18635326,-61.87061145,61.85274553,0.545600654,0.998695063,0.001328715,0.001073357,0.132813747,2.29E-06,0.109291097
4,format graphics ftp workstation server directory anonymous unix amiga database,3,-81.48444697,-83.97592733,38.37559948,0.528141835,0.99917143,0.000853821,0.000865532,0.094182358,4.24E-06,0.113947217
5,islamic sexual islam marriage jesus homosexual hitler marry sex religious,2,-84.87527099,-118.6003235,9.64740341,0.504294249,0.99868627,0.001359308,0.001090409,0.111216293,4.37E-06,0.112535607
6,jpeg workstation format gif platform toolkit widget server ftp converter,4,-68.98071839,-72.82845908,25.10400183,0.517973716,0.999295996,0.000729167,0.000804611,0.097336127,3.29E-06,0.113335098
7,scripture revelation god doctrine belief christian truth morality jesus faith,4,-60.75903695,-62.79089123,28.2899769,0.521827254,0.998798638,0.001241425,0.001054869,0.150600942,3.74E-06,0.115135487
8,jesus scripture eternal heaven god faith prophecy holy verse spirit,4,-71.38208955,-73.65509906,41.42469394,0.530683597,0.99855599,0.001490185,0.001158485,0.136820082,3.02E-06,0.100994213
9,israel jews turkish jew muslim turks lebanese arab armenian territory,4,-72.04647301,-102.3184571,0.208788376,0.496985204,0.99870079,0.001325024,0.001102447,0.135623615,4.48E-06,0.116677161
10,bio rom controller interface disk processing floppy widget application jumper,3,-99.55230782,-161.2195706,-26.74865747,0.472050709,0.99895655,0.001061342,0.000986274,0.060662505,3.94E-06,0.1167966
