ID,Topic,Human,Coherence,Coherence+eps,PMI,NPMI,Cosine,KL,Euclidean,Jaccard,Variability,Post Variability
1,knew stood family sleeping sat ali old shaking visited memories,1,-91.06663911,-93.06590363,24.44725345,0.516450563,0.982840357,0.016804696,0.002628862,0.126719392,1.68E-05,0.076982706
2,art collection fashion designer works wear artist dealer museum collections,3,-70.79449199,-71.69950323,34.7874534,0.524415525,0.982794001,0.016037917,0.002684984,0.136414713,1.34E-05,0.084037653
3,court judge case cases prosecutors prosecution sentenced criminal trial charges,4,-56.12121122,-56.46645589,33.5286961,0.524095602,0.986058719,0.012781938,0.002341913,0.210274767,9.67E-06,0.072628316
4,united islamic military state government officials attacks iraq war forces,3,-58.07238107,-58.29556303,-5.060684259,0.49551097,0.985199541,0.013892417,0.002395786,0.193547649,9.49E-06,0.077039563
5,recipe food recipes cooking meal cook dishes salad cheese chicken,4,-42.72162683,-43.53413188,89.58909799,0.561800601,0.979770861,0.01943519,0.002830182,0.185397753,1.00E-05,0.072102356
6,percent billion company reported year million bank market crude price,3,-64.56788127,-64.88916875,-15.96009672,0.486672171,0.988871677,0.010047143,0.002057132,0.222481639,1.35E-05,0.072616502
7,united american states iran president countries sanctions nations nuclear military,3,-63.65112028,-63.9870038,-3.117020923,0.496916757,0.986992514,0.012051647,0.002220387,0.22118488,1.71E-05,0.077071188
8,aaa run home inning season innings yankees pitcher fastball hit,3,-49.73298786,-50.2539447,39.87001293,0.528092738,0.988674964,0.010472887,0.002087666,0.206017433,1.18E-05,0.081238058
9,dr health experts doctors research prevention women study pregnant hospitals,4,-71.41968247,-72.24995449,12.79788917,0.508494087,0.985396471,0.013703002,0.002340705,0.151184296,1.39E-05,0.083847236
10,run aaa home left inning innings mets season hit metsa,2,-66.21116573,-66.78537554,25.73978989,0.518108117,0.988900518,0.010102109,0.002083379,0.21112288,1.70E-05,0.081716998
11,percent economy economic market global sharply prices spending increase rate,3,-59.4458027,-59.76690571,19.3032988,0.513805753,0.986547685,0.012314121,0.002229735,0.170938015,1.60E-05,0.08049295
12,company companies business technology industry software companyas executive customers google,3,-54.82558078,-55.06388156,11.93164981,0.508786159,0.986245596,0.013269442,0.002231276,0.181009236,1.07E-05,0.075175033
13,dr researchers doctors research scientists patients study patient scientist clinic,3,-78.29387943,-79.97640599,31.33999049,0.521497248,0.985483315,0.014011594,0.002371719,0.14136231,1.93E-05,0.081663647
14,election clinton mrs democratic sanders voters barack donald hillary presidential,2,-30.28714886,-30.53945337,36.4142539,0.527357467,0.99325425,0.006212209,0.001598648,0.337716191,1.82E-05,0.076678349
15,technology online manufacturers use service products internet google information search,2,-67.03360425,-67.92116365,12.85632631,0.509040317,0.984278667,0.01472303,0.002429843,0.142401231,1.03E-05,0.07916495
16,players tournament qualifying kick final champions won madrid manchester champion,2,-59.86144661,-60.91451933,49.98184622,0.534094285,0.989872715,0.009632555,0.00193411,0.144430573,1.20E-05,0.079154724
17,athe music netflix film theater song character movie producer lyrics,3,-71.96119809,-73.12393032,20.69618094,0.514237026,0.984256101,0.014799982,0.002483346,0.142430351,1.33E-05,0.068429469
18,athe music theater film new musical lincoln audiences singer premiere,2,-79.04691466,-79.718876,14.53509497,0.508716901,0.983376874,0.015428921,0.002530506,0.143288094,9.46E-06,0.071350912
19,mr investigation cuomo comment lawyer testimony behalf blasio case filed,1,-69.04485696,-70.4805843,-2.863547972,0.497271098,0.983563674,0.015333535,0.002535396,0.162164534,1.78E-05,0.078399093
20,union european europe british britain minister continent leave leaving europeas,2,-55.67598969,-56.07159273,33.84734465,0.524022889,0.990803591,0.008685186,0.001822393,0.21618883,1.43E-05,0.080845158
21,students school teachers colleges student education teach campus educational gender,3,-61.05843212,-62.2395527,38.8386682,0.526276756,0.982784623,0.015445362,0.002595277,0.162589163,1.23E-05,0.07796781
22,game rebounds series games forward postseason minutes conference defenseman playoffs,3,-67.30202746,-123.0060937,31.67048677,0.517453408,0.990034687,0.00922792,0.001991686,0.216683335,1.54E-05,0.072856992
23,company million billion financial executive companies business deal board transaction,4,-54.53415435,-54.73042498,-2.541309129,0.497492289,0.986898269,0.012031958,0.002259918,0.227229944,1.47E-05,0.069192873
24,itas like iam think donat lot know thatas really people,1,-23.4814677,-23.51746759,-8.649528197,0.492176922,0.978921932,0.019487825,0.002892403,0.359635392,1.23E-05,0.07483894
25,islamic aid group forces iraq soldiers officials government attacks rescue,1,-65.677163,-66.51568206,10.4294865,0.506944262,0.984466722,0.014481702,0.002423738,0.144160477,1.58E-05,0.070287353
26,new york graduated received university bride daughter officiated college couple,2,-53.953084,-54.13955793,29.11987911,0.521175473,0.981228047,0.016156518,0.00263637,0.22077577,1.47E-05,0.083444859
27,like itas make good just donat recipe want terrific youall,1,-69.60548742,-69.88553408,-2.681273807,0.496391267,0.98192427,0.016886449,0.002729764,0.304996318,1.50E-05,0.079205188
28,water sand lake cafe restaurant island visitors hotel tours breakfast,3,-93.76845137,-97.36574101,30.47076632,0.519952982,0.983726026,0.015852907,0.002513543,0.100504539,1.15E-05,0.069958997
29,fashion artist wear collection designer art aesthetic collections museum worn,4,-67.91607524,-68.87446239,48.92841537,0.533700554,0.984653389,0.014422899,0.002479421,0.126181621,1.12E-05,0.083485765
30,agency russiaas russian russia athletes international janeiro doping report zika,2,-71.11212999,-72.69494633,15.44305508,0.511147236,0.98503263,0.013711028,0.002366457,0.142947372,1.09E-05,0.076400802
31,union european minister political europe britain prime president country british,3,-40.34188984,-40.51428936,2.053240828,0.501544871,0.988503518,0.010862053,0.002083015,0.216521944,1.86E-05,0.077334484
32,media news facebook social instagram post online posting twitter outlets,4,-72.39567098,-73.11786123,29.55034696,0.520650868,0.981962179,0.017054641,0.002644665,0.149876172,1.52E-05,0.081297013
33,city residents building elevator new apartment broker trains apartments bedroom,3,-83.92633064,-85.32747252,17.80633347,0.511097915,0.984314924,0.014383778,0.002502945,0.16348163,1.14E-05,0.081586538
34,said ai ms aa ait remembers abut impressed ayou recalled,1,-68.3906344,-68.74327173,-3.559523045,0.49459634,0.987969686,0.011296521,0.002195019,0.233017016,1.42E-05,0.078839339
