ID,Topic,Human,Coherence,Coherence+eps,PMI,NPMI,Cosine,KL,Euclidean,Jaccard,Variability,Post Variability
1,markets economy brexit cents inflation brent barrel stocks prices economists,2,-63.38045846,-66.13185034,51.88578043,0.535545608,0.999179359,0.000834128,0.000525977,0.16155396,2.61E-06,0.068733207
2,earnings cents quarter investors stock stocks billion investments brent acquisitions,3,-68.47312789,-70.17570094,51.9542212,0.535583483,0.998963069,0.001049631,0.000585314,0.198022824,5.40E-06,0.063278692
3,recipe recipes cooking chicken salad terrific butter dish tonight cooked,3,-54.71624075,-56.35903516,100.260393,0.566675259,0.99868076,0.001327382,0.000665555,0.190292476,3.04E-06,0.061030783
4,merger transaction shareholders securities hedge investors regulators loans regulatory shareholder,4,-68.02049229,-70.33470741,57.08897388,0.53828889,0.998841755,0.001171968,0.000625419,0.130276454,2.95E-06,0.063487432
5,prosecutors officers police arrest courtroom defendants killings verdict misconduct baltimore,3,-77.49054836,-79.18449009,40.05688655,0.526704274,0.999227606,0.000774558,0.000509928,0.141227436,3.25E-06,0.06335128
6,islamic militants detained syria militant killings diplomatic kerry qaeda congress,2,-78.32830532,-82.92056907,39.36006466,0.52629534,0.998930722,0.001077016,0.000596383,0.118411403,3.85E-06,0.058958844
7,polls voters inflation monetary hispanic exit voter margin tax recession,2,-75.14636118,-106.5200019,8.088461872,0.495040801,0.99922768,0.000791135,0.000514716,0.133291953,2.56E-06,0.073253754
8,delegates trump nomination trumpas partyas republican clinton sanders nominee republicans,2,-23.95409651,-24.23475478,20.82024007,0.515249938,0.999577941,0.000428611,0.000383865,0.245771345,3.15E-06,0.077952764
9,patients drugs shootings doctors cancer patient medical medicine pain clinical,3,-64.79329503,-67.40139135,33.12328904,0.523459751,0.999204596,0.000826516,0.000522642,0.125400244,1.79E-06,0.067263902
10,inning scored innings game mets homer postseason sox scoring season,3,-39.2531812,-39.8239579,43.65360635,0.53096137,0.999051506,0.000925802,0.000559052,0.227215105,3.78E-06,0.067318518
11,primaries republicans republican sanders trump nominee democrats partyas sandersas democratic,2,-35.76478076,-36.15070498,38.63796908,0.527843057,0.999437479,0.00057069,0.000437808,0.279702938,3.54E-06,0.075310571
12,recipes recipe chef dish cooking chicken menu salad dishes cheese,4,-46.27330594,-47.49738563,97.39798485,0.566441314,0.998696518,0.001309442,0.000661833,0.209874202,4.12E-06,0.063241098
13,cents brent benchmark earnings barrel transaction index shareholders stocks quarter,3,-59.08215292,-117.1234952,62.80629553,0.537271902,0.998541186,0.001461167,0.000706973,0.156805362,3.41E-06,0.0619277
